the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.60416374545034 41.765252281014504),400052,1857891.91515,1183174.98124,Traditional,HS,"6, 7, 8, 9, 10, 11, 12","7131 SOUTH CHICAGO AVE, 60619",NOBLE - COMER
POINT (-87.66448299829219 41.89528219322829),400053,1905140.53981,1166350.26751,Traditional,HS,"9, 10, 11, 12","1454 W SUPERIOR ST, 60642",NOBLE - GOLDER HS
POINT (-87.73012671473326 41.91521410632573),400054,1912271.2411,1148427.04942,Traditional,HS,"9, 10, 11, 12","4131 W CORTLAND AVE, 60639",NOBLE - PRITZKER HS
POINT (-87.66085886981283 41.89242501199445),400055,1904107.09634,1167345.13298,Traditional,HS,"9, 10, 11, 12","1337 W OHIO ST, 60642",NOBLE - RAUNER HS
POINT (-87.7180467676694 41.89536225829381),400056,1905060.58164,1151766.79602,Traditional,HS,"9, 10, 11, 12","3645 W CHICAGO AVE, 60651",NOBLE - ROWE CLARK HS
POINT (-87.67611092980181 41.86581741283157),400057,1894379.14204,1163266.67033,Traditional,HS,"9, 10, 11, 12","1231 S DAMEN AVE, 60608",NOBLE - UIC HS
POINT (-87.70898711117727 41.85856355339459),400058,1891669.01197,1154330.91655,Traditional,HS,"9, 10, 11, 12","1615 S. CHRISTIANA AVE., 60623",NORTH LAWNDALE - CHRISTIANA HS
POINT (-87.70068059996225 41.86414584238213),400059,1893719.74802,1156578.75064,Traditional,HS,"9, 10, 11, 12","1313 S SACRAMENTO DR, 60623",NORTH LAWNDALE - COLLINS HS
POINT (-87.67116041931102 41.98337143551791),400060,1937226.38706,1164284.31856,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1643 W BRYN MAWR AVE, 60660",AHS - PASSAGES
POINT (-87.65204508844263 41.74596083113286),400061,1850755.18106,1170168.0522,Traditional,HS,"6, 7, 8, 9, 10, 11, 12","8131 S MAY ST, 60620",PERSPECTIVES - LEADERSHIP HS
POINT (-87.6506570244465 41.745949018698816),400062,1850753.8789,1170546.87985,Traditional,HS,"9, 10, 11, 12","8131 S MAY ST, 60620",PERSPECTIVES - TECH HS
POINT (-87.6285309007454 41.85599910441009),400064,1890904.18082,1176256.13582,Traditional,HS,"6, 7, 8, 9, 10, 11, 12","1930 S ARCHER AVE, 60616",PERSPECTIVES - JOSLIN HS
POINT (-87.62478771976076 41.827783856672056),400066,1880631.02551,1177360.70022,Traditional,HS,"6, 7, 8, 9, 10, 11, 12","3663 S WABASH AVE, 60653",PERSPECTIVES - MATH & SCI HS
POINT (-87.76333693234645 41.87276042775959),400068,1896739.33745,1139490.83567,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5545 W HARRISON ST, 60644",PLATO
POINT (-87.70779647483542 41.89255017313203),400069,1904056.03936,1154565.00499,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","620 N SAWYER AVE, 60624",POLARIS
POINT (-87.66399582959697 41.775367366876885),400071,1861445.07602,1166823.39813,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","6515 S ASHLAND AVE, 60636",PROVIDENCE ENGLEWOOD
POINT (-87.6085007807937 41.82772608093774),400075,1880647.0035,1181799.8311,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","707 E 37TH ST, 60653",U OF C - DONOGHUE
POINT (-87.59878626839304 41.81118286651697),400076,1874641.21564,1184499.02846,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","1119 E 46TH ST, 60653",U OF C - NKO
POINT (-87.59737971847764 41.78041190433886),400077,1863431.73511,1184978.47369,Traditional,HS,"6, 7, 8, 9, 10, 11, 12","6300 S UNIVERSITY AVE, 60637",U OF C - WOODLAWN HS
POINT (-87.60842562240991 41.813547304108404),400078,1875480.49119,1181863.90578,Traditional,ES,8,"4444 S EVANS AVE, 60653",U OF C - WOODSON
